"HCPCS","DESCRIPTION"
"95992","Canalith repositioning procedure(s) (eg, Epley maneuver, Semont maneuver), per day"
"95999","Unlisted neurological diagnostic service or procedure"
"96000","Comprehensive computer-based motion analysis; video and 3D kinematics"
"96001","Comprehensive computer-based motion analysis; video, 3D kinematics, and dynamic foot pressure measurement"
"96002","Comprehensive computer-based motion analysis; dynamic surface electromyography (EMG)"
"96004","Physician review and interpretation of comprehensive computer-based motion analysis reports"
"96020","Functional magnetic resonance imaging (fMRI); brain mapping, active physician or qualified healthcare professional participation"
"96020","Functional magnetic resonance imaging (fMRI); brain mapping, active physician or qualified healthcare professional participation"
"96020","Functional magnetic resonance imaging (fMRI); brain mapping, active physician or qualified healthcare professional participation"
"96041","Genetic counseling services, each 30 minutes"
"96105","Assessment of aphasia and cognitive-linguistic abilities"
"96110","Developmental screening, with scoring and documentation"
"96112","Developmental test administration, by physician or other qualified healthcare professional; first hour"
"96113","Developmental test administration, by physician or other qualified healthcare professional; each additional 30 minutes"
"96116","Neurobehavioral status exam, by physician or other qualified healthcare professional; first hour"
"96121","Neurobehavioral status exam, by physician or other qualified healthcare professional; each additional hour"
"96125","Standardized cognitive performance testing, by healthcare professional"
"96127","Brief emotional or behavioral assessment, with scoring and documentation"
"96130","Psychological testing evaluation services by physician or other qualified healthcare professional; first hour"
"96131","Psychological testing evaluation services by physician or other qualified healthcare professional; each additional hour"
"96132","Neuropsychological testing evaluation services by physician or other qualified healthcare professional; first hour"
"96133","Neuropsychological testing evaluation services by physician or other qualified healthcare professional; each additional hour"
"96136","Psychological or neuropsychological test administration and scoring by physician or other qualified healthcare professional; first 30 minutes"
"96137","Psychological or neuropsychological test administration and scoring by physician or other qualified healthcare professional; each additional 30 minutes"
"96138","Psychological or neuropsychological test administration and scoring by technician; first 30 minutes"
"96139","Psychological or neuropsychological test administration and scoring by technician; each additional 30 minutes"
"96146","Psychological or neuropsychological test administration, automated, with single-state, automated result"
"96156","Health behavior assessment or reassessment"
"96158","Health behavior intervention, individual; first 30 minutes"
"96159","Health behavior intervention, individual; each additional 15 minutes"
"96160","Patient-focused health risk assessment, with scoring and documentation"
"96161","Caregiver-focused health risk assessment, with scoring and documentation"
"96164","Health behavior intervention, group; first 30 minutes"
"96165","Health behavior intervention, group; each additional 15 minutes"
"96167","Health behavior intervention, family; first 30 minutes"
"96168","Health behavior intervention, family; each additional 15 minutes"
"96170","Health behavior intervention, family, without patient present; first 30 minutes"
"96171","Health behavior intervention, family, without patient present; each additional 15 minutes"
"96202","Multiple-family group behavior training; first 60 minutes"
"96203","Multiple-family group behavior training; each additional 30 minutes"
"96360","Intravenous infusion, hydration; initial, up to 1 hour"
"96361","Intravenous infusion, hydration; each additional hour"
"96365","Therapeutic, prophylactic, or diagnostic intravenous infusion; initial, up to 1 hour"
"96366","Therapeutic, prophylactic, or diagnostic intravenous infusion; each additional hour"
"96367","Therapeutic, prophylactic, or diagnostic intravenous infusion; additional sequential infusion, up to 1 hour"
"96368","Therapeutic, prophylactic, or diagnostic intravenous infusion; concurrent infusion"
"96369","Subcutaneous therapeutic infusion; initial, up to 1 hour"
"96370","Subcutaneous therapeutic infusion; each additional hour"
"96371","Subcutaneous therapeutic infusion; reset pump and/or disconnect"
"96372","Therapeutic, prophylactic, or diagnostic injection; subcutaneous or intramuscular"
"96373","Therapeutic, prophylactic, or diagnostic injection; intra-arterial"
"96374","Therapeutic, prophylactic, or diagnostic injection; intravenous push, single or initial substance/drug"
"96375","Therapeutic, prophylactic, or diagnostic injection; each additional sequential intravenous push of a new substance/drug"
"96376","Therapeutic, prophylactic, or diagnostic injection; each additional sequential intravenous push of the same substance/drug"
"96377","Application of on-body injector for timed subcutaneous drug delivery"
"96379","Unlisted therapeutic, prophylactic, or diagnostic intravenous or subcutaneous injection or infusion"
"96380","Administration of respiratory syncytial virus monoclonal antibody, intramuscular, with counseling"
"96381","Administration of respiratory syncytial virus monoclonal antibody, intramuscular, injection only"
"96401","Chemotherapy administration, subcutaneous or intramuscular; non-hormonal anti-neoplastic"
"96402","Chemotherapy administration, subcutaneous or intramuscular; hormonal anti-neoplastic"
"96405","Chemotherapy administration, intralesional; up to and including 7 lesions"
"96406","Chemotherapy administration, intralesional; more than 7 lesions"
"96409","Chemotherapy administration; intravenous push technique, single or initial substance/drug"
"96411","Chemotherapy administration; intravenous push technique, each additional substance/drug"
"96413","Chemotherapy administration; intravenous infusion technique, up to 1 hour, single or initial substance/drug"
"96415","Chemotherapy administration; intravenous infusion technique, each additional hour"
"96416","Chemotherapy administration; intravenous infusion technique, initiation of prolonged chemotherapy infusion (more than 8 hours), requiring use of a portable or implantable pump"
"96417","Chemotherapy administration; intravenous infusion technique, each additional sequential infusion, up to 1 hour"
"96420","Chemotherapy administration; intra-arterial, push technique, single or initial substance/drug"
"96422","Chemotherapy administration; intra-arterial, infusion technique, up to 1 hour, single or initial substance/drug"
"96423","Chemotherapy administration; intra-arterial, infusion technique, each additional hour"
"96425","Chemotherapy administration; intra-arterial, infusion technique, initiation of prolonged infusion (more than 8 hours), requiring use of a portable or implantable pump"
"96440","Chemotherapy administration into pleural cavity, requiring thoracentesis"
"96446","Chemotherapy administration into peritoneal cavity, requiring indwelling port or catheter"
"96450","Chemotherapy administration into central nervous system (eg, intrathecal), requiring spinal puncture"
"96521","Refilling and maintenance of portable pump"
"96522","Refilling and maintenance of implantable pump or reservoir system"
"96523","Irrigation of drug delivery device"
"96542","Chemotherapy injection, subarachnoid or intraventricular via subcutaneous reservoir, single or multiple agents"
